id,datum,onderwerp,stelling,motie,bron,D66,VVD,PRO,PVV,CDA,JA21,FVD,Groep Markuszower,BBB,ChristenUnie,DENK,PvdD,SGP,SP,50PLUS,Keijzer,Volt
1,2026-06-23,Migratie,"De telefoons van asielzoekers moeten weer kunnen worden uitgelezen om hun identiteit en asielrelaas te controleren en mogelijke signalen van mensensmokkel te onderzoeken.","Motie van het lid Boomsma c.s. over het uitlezen van gegevensdragers zoals mobiele telefoons voortzetten","19637-3590",tegen,voor,tegen,voor,voor,voor,voor,voor,voor,tegen,tegen,tegen,voor,tegen,voor,afwezig,tegen
2,2026-06-18,Preventief gezondheidsbeleid,"Het online verspreiden van medische desinformatie over soa's en voorbehoedsmiddelen door influencers moet strafbaar kunnen worden gesteld.","Motie van het lid Van Groningen c.s. over onderzoek naar de strafbaarstelling van het online verspreiden van medische desinformatie","32793-904",voor,voor,voor,tegen,voor,voor,tegen,voor,tegen,voor,voor,voor,tegen,voor,voor,afwezig,voor
3,2026-04-21,Racisme en Discriminatie,"De politie moet gegevens van studenten die betrokken zijn bij strafbare feiten of ernstige ordeverstoringen kunnen delen met universiteiten, zodat deze instellingen kunnen optreden bij ernstige overlast.","Motie van de leden Nanninga en Diederik van Dijk over een handelingskader om gegevens te delen van studenten die betrokken zijn bij strafbare feiten of ernstige ordeverstoringen","30950-521",tegen,voor,tegen,voor,voor,voor,tegen,voor,voor,voor,tegen,tegen,voor,tegen,voor,voor,tegen
4,2026-07-02,Verkeersveiligheid,"De handhaving tegen onnodig gebruik van de claxon moet strenger worden en de sancties moeten worden verhoogd.","Motie van het lid Bikkers c.s. over een steviger handhavingsaanpak op oneigenlijk gebruik van geluidssignalen","29398-1234",tegen,voor,tegen,voor,voor,voor,voor,voor,tegen,voor,tegen,tegen,tegen,tegen,voor,voor,tegen
5,2026-06-17,Gezondheid en milieu,"Op consumentenproducten die PFAS bevatten moet een duidelijk etiket komen.","Motie van de leden Zalinyan en Kostić over etikettering voor consumentenproducten die pfas bevatten","28089-363",voor,voor,voor,tegen,voor,tegen,tegen,tegen,tegen,voor,voor,voor,voor,voor,voor,afwezig,voor
6,2026-02-26,Energie,"Nieuwe windturbines en zonnevlaktes mogen niet worden gebouwd in open landschappen.","Motie van het lid Vermeer over een verbod instellen op het bouwen van nieuwe windturbines en zonnevlaktes in open landschappen","36848-93",tegen,tegen,tegen,voor,tegen,voor,voor,voor,voor,tegen,tegen,tegen,voor,voor,tegen,voor,tegen
7,2026-04-16,Hoger onderwijs,"Het bindend studieadvies moet worden aangepast en er moet worden onderzocht of het kan worden vervangen door een persoonlijk, begeleidend studieadvies.","Motie van het lid Rooderkerk c.s. over met onderwijsinstellingen in gesprek gaan over het bindend studieadvies","31288-1245",voor,tegen,tegen,tegen,voor,tegen,tegen,voor,voor,voor,voor,voor,voor,voor,voor,tegen,voor
8,2026-05-26,Openbare orde en veiligheid,"Er mogen geen akkoorden worden gesloten met politici die oproepen tot geweld tegen vluchtelingen of de omvolkingstheorie verspreiden.","Motie van het lid Klaver over geen akkoorden sluiten met politici die oproepen tot geweld tegen vluchtelingen of de omvolkingstheorie verspreiden","28684-849",voor,voor,voor,tegen,voor,tegen,tegen,tegen,tegen,voor,voor,voor,tegen,voor,voor,tegen,voor
9,2026-04-23,Wonen en belastingen,"De hypotheekrenteaftrek moet niet worden verruimd.","Motie van het lid Stultiens over de verruiming van de hypotheekrenteaftrek ongedaan maken","36915-4",voor,tegen,voor,tegen,voor,tegen,tegen,tegen,tegen,voor,voor,voor,tegen,voor,tegen,tegen,voor
10,2026-04-21,Defensie,"Het zero-tolerancebeleid voor drugs bij Defensie moet worden gehandhaafd.","Motie van het lid Faber over binnen Defensie een zerotolerancebeleid voeren inzake drugs","24077-561",tegen,voor,tegen,voor,voor,voor,tegen,tegen,tegen,voor,voor,tegen,voor,tegen,tegen,tegen,tegen
11,2026-06-16,Onderwijs,"De Wet gratis schoolboeken moet worden omgevormd tot een wet voor gratis leermiddelen waarin ook laptops en tablets zijn opgenomen.","Gewijzigde motie van het lid Moorman c.s. over de Wet gratis schoolboeken omvormen tot een wet gratis leermiddelen waarin devices zijn opgenomen","32034-80",voor,voor,voor,tegen,tegen,voor,tegen,tegen,voor,voor,voor,voor,voor,voor,voor,tegen,voor
